"iri","term_localName","prefLabel","label","definition","comments","organized_in","rdf_type"
"https://rs.tdwg.org/bdqdim/terms/Completeness","Completeness","Completeness","Completeness","The extent to which data in a bdqffdq:InformationElement are present and sufficiently comprehensive for use.","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension).","https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Conformance","Conformance","Conformance","Conformance","Where data in a bdqffdq:InformationElement conform to a format, syntax, data type, range, or standard.","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension).","https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Consistency","Consistency","Consistency","Consistency","Agreement among related bdqffdq:InformationElements that are present in the data. Note that missing bdqffdq:InformationElements do not make a test bdq:Inconsistent.","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension).","https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Incomplete","Incomplete","Incomplete","Incomplete","Where a bdqffdq:InformationElement does not contain sufficient information to satisfy the scope of the test.",,"https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Inconsistent","Inconsistent","Inconsistent","Inconsistent","Where bdqdim:Consistency is not satisfied due to inconsistent values between bdqffdq:InformationElements of a bdqffdq:SingleRecord.",,"https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Invalid","Invalid","Invalid","Invalid","Where bdqdim:Conformance is not satisfied due to bdqffdq:InformationElements containing non-standard values.",,"https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Likeliness","Likeliness","Likeliness","Likeliness","The likelihood of data in a bdqffdq:InformationElement having true or expected values.","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension).","https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Reliability","Reliability","Reliability","Reliability","A measure of the degree to which data values agree with and describe an identified source of truth (object, event or any abstract or real 'thing').","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension).","https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Resolution","Resolution","Resolution","Resolution","The extent to which the data have sufficiently detailed information. A measure of the granularity of the data, or the smallest measurable increment.","Definition from the Fitness for Use Framework: Data Quality Dimensions Document (Link needed to RDF document  - https://github.com/tdwg/bdq/wiki/TG2-Data-Quality-Dimension).","https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Unlikely","Unlikely","Unlikely","Unlikely","Where bdqdim:Likeliness is not satisfied due to the bdqffdq:InformationElements containing a value that is not likely to occur (for example where the geographic coordinates are ""0"", ""0"").","Needs a bdq:Response.qualifier in the response in order to express the nature of the uncertainty.","https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
"https://rs.tdwg.org/bdqdim/terms/Ambiguous","Ambiguous","Ambiguous","Ambiguous","Where bdqdim:Conformance is not satisfied due to bdqffdq:InformationElements not being unambiguously resolvable by a bdq:sourceAuthority.","Needs a bdq:Response.qualifier in the response in order to express the nature of the ambiguity.","https://rs.tdwg.org/bdqdim/terms/","bdqffdq:DataQualityDimension"
