dwc:countryCode,Response.Status,Response.Result,Response.Comment,Explanation
,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRANK is EMPTY or missing]",
  ,RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRANK is EMPTY]",Field consists of just white space
[non-printing characters],RUN_HAS_RESULT,NOT_COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRANK is EMPTY]",TEMPORARY placeholder - we need to add some examples of non-printing characters
null ,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRank is not EMPTY]",
Australia,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRank is not EMPTY]",
us,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRank is not EMPTY]",
IRE,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRank is not EMPTY]",
anyOldTerm,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRank is not EMPTY]",
…,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRank is not EMPTY]",
12345,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRank is not EMPTY]",
?,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRank is not EMPTY]",
dwc:countryCode,RUN_HAS_RESULT,COMPLIANT,"[any human readable explanation, e.g. dwc:taxonRank is not EMPTY]",
